Well,X,Y,GroundElev
17171,33.30117409914592,38.762073791197814,
20122,31.91840624136489,37.440625558352195,
40561,32.28479172009975,38.51833774437816,
62493,32.205617983537074,37.984513570020155,
62555,32.18699298238707,37.43995568715243,
65520,33.586607914642705,37.31521758715741,
70001,33.83135899565952,37.94579904014581,
70002,32.408463675153634,38.107176817169105,
70003,33.603460035504604,37.35024217611411,
70004,33.75776392484461,37.02830034184444,
70005,32.92853500150497,37.89515313489188,
70006,32.338922122351356,38.383662323548194,
70007,33.6133315114143,38.74534093436973,
70008,32.27027851942521,38.18851461089738,
70009,33.43122751491636,38.74253288784044,
70010,33.185868450097296,38.64291147707817,
